sample_id,category,source_split,selected_ai_stage,ai_final_compiled,reference_pages,ai_pages,page_count_match,pandoc_compile,tylax_compile,typetex_compile,source_comparison_pdf,source_pdf_page,report_page
09_algorithms_008,09_algorithms,heldout,v1,True,1,1,True,failed,ok,failed,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,117,142
09_algorithms_009,09_algorithms,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,118,143
09_algorithms_011,09_algorithms,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,119,144
09_algorithms_013,09_algorithms,heldout,v1,True,2,1,False,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,120,145
09_algorithms_016,09_algorithms,heldout,v1,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,121,146
09_algorithms_017,09_algorithms,heldout,v2,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,122,147
09_algorithms_018,09_algorithms,heldout,v2,True,1,1,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,123,148
09_algorithms_021,09_algorithms,prompt_dev,v3_rescue,True,1,1,,ok,ok,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,34,149
10_compact_papers_001,10_compact_papers,heldout,v1,True,1,1,True,ok,failed,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,125,151
10_compact_papers_002,10_compact_papers,heldout,v1,True,2,2,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,126,152
